id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2525381688,https://www.vivareal.com.br/imovel/apartamento-2-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-64m2-aluguel-RS3100-id-2525381688/,"Apartamento com 2 Quartos para Aluguel, 64m²","Rua Sorocaba, 231 - Botafogo, Rio de Janeiro - RJ",64,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Academia
Aceita animais
Espaço gourmet
...",R$ 3.100 /mês,R$ 800,Botafogo,2021-09-03 17:09
2524300075,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-48m2-aluguel-RS2000-id-2524300075/,"Apartamento com Quarto para Aluguel, 48m²","Rua General Severiano, 180 - Botafogo, Rio de Janeiro - RJ",48,1 Quarto,1 Banheiro,1 Vaga,"Elevador
Aceita animais
Ar-condicionado
Bicicletário
Portaria 24h
...",R$ 2.000 /mês,R$ 540,Botafogo,2021-09-03 17:09
2530576096,https://www.vivareal.com.br/imovel/apartamento-2-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-105m2-aluguel-RS2800-id-2530576096/,"Apartamento com 2 Quartos para Aluguel, 105m²","Rua São Clemente, 371 - Botafogo, Rio de Janeiro - RJ",105,2 Quartos,1 Banheiro,1 Vaga,"Elevador
Aceita animais
Ar-condicionado
Jardim
Bicicletário
...",R$ 2.800 /mês,R$ 1.166,Botafogo,2021-09-03 17:09
2525700453,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-zona-sul-rio-de-janeiro-25m2-aluguel-RS990-id-2525700453/,"Apartamento com Quarto para Aluguel, 25m²","Rua Real Grandeza, 100 - Botafogo, Rio de Janeiro - RJ",25,1 Quarto,1 Banheiro,-- Vaga,,R$ 990 /mês,R$ 500,Botafogo,2021-09-03 17:09
2525290189,https://www.vivareal.com.br/imovel/apartamento-2-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-70m2-aluguel-RS4100-id-2525290189/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Dona Mariana - Botafogo, Rio de Janeiro - RJ",70,2 Quartos,3 Banheiros,1 Vaga,"Mobiliado
Elevador
Ar-condicionado
Área de serviço
Playground
...",R$ 4.100 /mês,R$ 1.596,Botafogo,2021-09-03 17:09
2531809462,https://www.vivareal.com.br/imovel/apartamento-2-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-98m2-aluguel-RS4000-id-2531809462/,"Apartamento com 2 Quartos para Aluguel, 98m²","Rua São Clemente, 262 - Botafogo, Rio de Janeiro - RJ",98,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 4.000 /mês,R$ 1.577,Botafogo,2021-09-03 17:09
2532742278,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-zona-sul-rio-de-janeiro-64m2-aluguel-RS1800-id-2532742278/,"Apartamento com Quarto para Aluguel, 64m²","Rua Real Grandeza, 193 - Botafogo, Rio de Janeiro - RJ",64,1 Quarto,1 Banheiro,-- Vaga,"Churrasqueira
Elevador
Aceita animais
Ar-condicionado
Salão de festas
...",R$ 1.800 /mês,R$ 590,Botafogo,2021-09-03 17:09
2530141303,https://www.vivareal.com.br/imovel/apartamento-4-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-114m2-aluguel-RS4000-id-2530141303/,"Apartamento com 4 Quartos para Aluguel, 114m²","Rua Dona Mariana, 62 - Botafogo, Rio de Janeiro - RJ",114,4 Quartos,3 Banheiros,1 Vaga,"Ar-condicionado
Mobiliado
Portaria 24h",R$ 4.000 /mês,R$ 2.000,Botafogo,2021-09-03 17:09
2532873047,https://www.vivareal.com.br/imovel/apartamento-3-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-88m2-aluguel-RS3600-id-2532873047/,"Apartamento com 3 Quartos para Aluguel, 88m²","Rua São Clemente, 96 - Botafogo, Rio de Janeiro - RJ",88,3 Quartos,3 Banheiros,1 Vaga,"Elevador
Condomínio fechado
Playground
Salão de festas
Bicicletário
...",R$ 3.600 /mês,R$ 1.100,Botafogo,2021-09-03 17:09
2529681890,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-zona-sul-rio-de-janeiro-com-garagem-80m2-aluguel-RS2300-id-2529681890/,"Apartamento com Quarto para Aluguel, 80m²","Rua Eduardo Guinle, 40 - Botafogo, Rio de Janeiro - RJ",80,1 Quarto,1 Banheiro,1 Vaga,Aceita animais,R$ 2.300 /mês,R$ 985,Botafogo,2021-09-03 17:09
