iter	Passed	Remaining
0	50	50282
1	136	67976
2	165	55138
3	199	49646
4	231	46136
5	275	45604
6	315	44717
7	340	42178
8	364	40101
9	390	38632
10	417	37577
11	446	36787
12	476	36167
13	506	35680
14	534	35091
15	570	35101
16	602	34866
17	642	35028
18	667	34475
19	706	34615
20	736	34332
21	766	34064
22	797	33890
23	821	33425
24	849	33122
25	878	32892
26	904	32601
27	930	32296
28	954	31965
29	979	31678
30	1014	31696
31	1038	31410
32	1063	31177
33	1093	31070
34	1126	31066
35	1151	30822
36	1176	30609
37	1200	30396
38	1224	30183
39	1249	29982
40	1273	29798
41	1300	29657
42	1336	29747
43	1360	29566
44	1392	29561
45	1417	29403
46	1449	29395
47	1474	29245
48	1499	29093
49	1527	29016
50	1554	28921
51	1578	28776
52	1605	28681
53	1636	28668
54	1667	28648
55	1698	28631
56	1729	28620
57	1754	28490
58	1794	28614
59	1825	28595
60	1852	28523
61	1877	28410
62	1901	28287
63	1926	28169
64	1954	28114
65	1986	28114
66	2012	28024
67	2052	28126
68	2085	28140
69	2114	28099
70	2146	28082
71	2172	28005
72	2214	28126
73	2246	28108
74	2276	28070
75	2311	28100
76	2355	28236
77	2385	28196
78	2413	28137
79	2450	28181
80	2479	28132
81	2507	28068
82	2532	27976
83	2562	27945
84	2599	27985
85	2629	27945
86	2654	27853
87	2678	27762
88	2703	27675
89	2728	27584
90	2753	27499
91	2789	27527
92	2819	27494
93	2849	27459
94	2879	27430
95	2905	27360
96	2946	27430
97	2973	27369
98	3001	27313
99	3029	27263
100	3056	27210
101	3085	27168
102	3113	27110
103	3137	27034
104	3161	26951
105	3197	26969
106	3222	26894
107	3247	26825
108	3283	26840
109	3316	26832
110	3345	26791
111	3397	26937
112	3411	26778
113	3438	26723
114	3463	26653
115	3492	26614
116	3516	26542
117	3544	26492
118	3570	26430
119	3594	26358
120	3617	26276
121	3649	26265
122	3655	26063
123	3687	26053
124	3713	25993
125	3746	25987
126	3770	25921
127	3809	25953
128	3837	25912
129	3866	25873
130	3894	25835
131	3935	25878
132	3965	25852
133	3996	25831
134	4028	25813
135	4054	25760
136	4091	25770
137	4121	25745
138	4150	25711
139	4175	25647
140	4200	25590
141	4224	25527
142	4248	25461
143	4276	25420
144	4301	25364
145	4339	25384
146	4366	25338
147	4389	25266
148	4433	25319
149	4460	25275
150	4488	25234
151	4516	25196
152	4542	25145
153	4567	25089
154	4578	24962
155	4604	24910
156	4629	24859
157	4654	24803
158	4669	24700
159	4695	24652
160	4719	24596
161	4744	24543
162	4768	24485
163	4792	24431
164	4817	24377
165	4841	24321
166	4866	24271
167	4890	24221
168	4914	24167
169	4939	24117
170	4965	24073
171	5001	24075
172	5026	24029
173	5064	24040
174	5074	23921
175	5099	23873
176	5123	23823
177	5146	23766
178	5171	23717
179	5203	23704
180	5227	23652
181	5268	23679
182	5299	23659
183	5324	23614
184	5348	23562
185	5377	23534
186	5402	23486
187	5428	23444
188	5461	23434
189	5485	23386
190	5510	23340
191	5537	23303
192	5564	23268
193	5587	23215
194	5614	23176
195	5639	23132
196	5664	23089
197	5695	23070
198	5726	23048
199	5749	22996
200	5774	22954
201	5799	22908
202	5830	22889
203	5853	22838
204	5886	22827
205	5911	22785
206	5934	22734
207	5965	22715
208	5989	22668
209	6013	22621
210	6039	22583
211	6069	22561
212	6101	22544
213	6126	22502
214	6158	22484
215	6184	22445
216	6207	22398
217	6234	22362
218	6258	22319
219	6283	22276
220	6318	22272
221	6342	22225
222	6366	22183
223	6392	22144
224	6415	22099
225	6444	22071
226	6476	22055
227	6499	22007
228	6524	21966
229	6548	21924
230	6573	21884
231	6597	21840
232	6621	21796
233	6646	21758
234	6678	21740
235	6704	21704
236	6727	21659
237	6750	21614
238	6773	21567
239	6796	21522
240	6822	21486
241	6854	21470
242	6879	21431
243	6911	21413
244	6934	21369
245	6957	21325
246	6991	21313
247	7016	21274
248	7041	21237
249	7065	21195
250	7087	21150
251	7111	21107
252	7141	21086
253	7166	21048
254	7189	21005
255	7215	20969
256	7238	20926
257	7262	20887
258	7295	20873
259	7320	20833
260	7346	20799
261	7371	20763
262	7394	20721
263	7417	20679
264	7443	20645
265	7467	20606
266	7491	20566
267	7525	20554
268	7550	20518
269	7579	20491
270	7602	20452
271	7626	20412
272	7650	20373
273	7676	20339
274	7701	20303
275	7725	20264
276	7750	20229
277	7776	20196
278	7801	20161
279	7829	20134
280	7854	20096
281	7885	20077
282	7908	20037
283	7932	19999
284	7956	19961
285	7989	19946
286	8015	19912
287	8038	19872
288	8061	19833
289	8086	19798
290	8116	19775
291	8139	19736
292	8173	19722
293	8197	19685
294	8229	19666
295	8253	19628
296	8277	19593
297	8300	19554
298	8326	19520
299	8349	19481
300	8372	19444
301	8405	19427
302	8430	19393
303	8454	19355
304	8484	19334
305	8520	19323
306	8547	19294
307	8572	19260
308	8604	19242
309	8636	19223
310	8665	19196
311	8701	19186
312	8730	19162
313	8766	19152
314	8795	19125
315	8823	19099
316	8857	19084
317	8886	19057
318	8909	19019
319	8933	18984
320	8958	18949
321	8981	18910
322	9004	18872
323	9033	18847
324	9058	18813
325	9083	18780
326	9108	18746
327	9138	18722
328	9161	18685
329	9184	18646
330	9208	18611
331	9231	18573
332	9254	18536
333	9281	18507
334	9305	18472
335	9329	18436
336	9354	18403
337	9385	18382
338	9410	18348
339	9440	18326
340	9465	18292
341	9491	18262
342	9517	18229
343	9540	18192
344	9565	18160
345	9595	18137
346	9621	18106
347	9652	18083
348	9677	18050
349	9702	18018
350	9730	17992
351	9757	17962
352	9785	17936
353	9810	17903
354	9837	17874
355	9866	17848
356	9890	17813
357	9913	17777
358	9938	17744
359	9966	17717
360	9993	17689
361	10021	17662
362	10052	17640
363	10088	17626
364	10124	17613
365	10185	17643
366	10213	17615
367	10237	17581
368	10263	17550
369	10289	17519
370	10317	17492
371	10343	17461
372	10371	17433
373	10397	17402
374	10427	17378
375	10455	17352
376	10482	17323
377	10508	17291
378	10533	17260
379	10558	17226
380	10584	17196
381	10609	17164
382	10634	17131
383	10661	17102
384	10685	17068
385	10709	17034
386	10734	17003
387	10761	16974
388	10787	16943
389	10813	16912
390	10839	16883
391	10864	16850
392	10888	16817
393	10912	16784
394	10939	16755
395	10965	16725
396	10992	16696
397	11016	16663
398	11041	16632
399	11064	16597
400	11090	16566
401	11115	16535
402	11139	16502
403	11164	16470
404	11189	16438
405	11214	16407
406	11241	16378
407	11266	16348
408	11291	16315
409	11317	16285
410	11341	16253
411	11377	16237
412	11404	16208
413	11429	16177
414	11465	16162
415	11492	16134
416	11523	16110
417	11553	16085
418	11581	16059
419	11610	16033
420	11637	16005
421	11663	15974
422	11687	15942
423	11717	15917
424	11742	15887
425	11767	15855
426	11790	15822
427	11815	15791
428	11839	15757
429	11863	15725
430	11886	15692
431	11909	15658
432	11932	15625
433	11956	15593
434	11981	15561
435	12005	15529
436	12029	15497
437	12054	15466
438	12078	15435
439	12102	15402
440	12126	15370
441	12149	15338
442	12180	15315
443	12204	15282
444	12229	15251
445	12252	15219
446	12280	15192
447	12305	15161
448	12332	15134
449	12356	15102
450	12385	15077
451	12410	15046
452	12435	15016
453	12460	14986
454	12489	14959
455	12514	14929
456	12545	14906
457	12572	14878
458	12601	14852
459	12627	14823
460	12651	14792
461	12676	14761
462	12702	14732
463	12727	14702
464	12752	14672
465	12777	14642
466	12800	14609
467	12827	14581
468	12860	14560
469	12885	14530
470	12908	14498
471	12935	14469
472	12963	14443
473	12987	14412
474	13010	14380
475	13033	14348
476	13057	14316
477	13081	14285
478	13106	14255
479	13129	14223
480	13159	14199
481	13185	14170
482	13209	14139
483	13239	14114
484	13263	14083
485	13286	14052
486	13311	14022
487	13335	13991
488	13361	13962
489	13386	13933
490	13410	13901
491	13435	13872
492	13459	13841
493	13484	13811
494	13510	13783
495	13542	13760
496	13566	13730
497	13592	13701
498	13617	13671
499	13642	13642
500	13667	13612
501	13692	13583
502	13730	13566
503	13758	13540
504	13785	13512
505	13818	13490
506	13844	13462
507	13873	13436
